age,age_cat,race,sex,priors_count,juv_fel_count,juv_misd_count,juv_other_count,c_charge_degree,two_year_recid
34,25 - 45,African-American,Male,0,0,0,0,F,1
24,Less than 25,African-American,Male,4,0,0,1,F,1
41,25 - 45,Caucasian,Male,14,0,0,0,F,1
39,25 - 45,Caucasian,Female,0,0,0,0,M,0
27,25 - 45,Caucasian,Male,0,0,0,0,F,0
23,Less than 25,African-American,Male,3,0,0,0,M,1
37,25 - 45,Caucasian,Female,0,0,0,0,M,0
41,25 - 45,African-American,Male,0,0,0,0,F,0
47,Greater than 45,Caucasian,Female,1,0,0,0,F,1
31,25 - 45,African-American,Male,7,0,0,0,F,1
25,25 - 45,African-American,Male,3,0,0,0,F,0
31,25 - 45,Caucasian,Male,6,0,0,0,F,1
31,25 - 45,Caucasian,Male,5,0,0,0,F,1
64,Greater than 45,African-American,Male,13,0,0,0,F,1
21,Less than 25,African-American,Male,1,0,0,0,F,1
27,25 - 45,Caucasian,Male,0,0,0,0,M,1
21,Less than 25,Caucasian,Female,0,0,0,0,F,0
43,25 - 45,Caucasian,Male,1,0,0,0,M,0
27,25 - 45,African-American,Male,8,0,0,0,F,1
26,25 - 45,African-American,Male,5,0,0,1,F,1
33,25 - 45,African-American,Male,0,0,0,0,F,1
30,25 - 45,Caucasian,Male,9,0,0,0,F,1
32,25 - 45,African-American,Male,4,0,0,0,F,1
55,Greater than 45,Caucasian,Male,0,0,0,0,F,0
33,25 - 45,Caucasian,Female,4,0,0,0,M,1
24,Less than 25,Caucasian,Male,1,0,0,0,M,1
34,25 - 45,African-American,Male,21,2,1,3,F,1
29,25 - 45,Caucasian,Male,0,0,0,0,M,0
21,Less than 25,African-American,Female,2,0,0,0,F,0
51,Greater than 45,African-American,Male,2,0,0,0,M,0
29,25 - 45,Caucasian,Male,2,0,0,0,M,1
51,Greater than 45,African-American,Female,7,0,0,0,F,0
29,25 - 45,African-American,Male,0,0,0,0,F,1
25,25 - 45,Caucasian,Male,9,0,0,0,M,1
35,25 - 45,African-American,Male,13,1,0,4,F,1
49,Greater than 45,Caucasian,Male,0,0,0,0,M,0
29,25 - 45,African-American,Male,0,0,0,0,F,0
29,25 - 45,Caucasian,Male,1,0,0,0,F,1
31,25 - 45,African-American,Male,15,0,0,1,F,0
24,Less than 25,African-American,Male,2,0,0,0,F,1
49,Greater than 45,African-American,Male,4,0,0,0,M,0
53,Greater than 45,Caucasian,Male,8,0,0,0,F,0
35,25 - 45,African-American,Male,5,0,0,0,F,0
27,25 - 45,African-American,Male,15,1,1,2,F,1
38,25 - 45,Caucasian,Male,4,0,0,0,M,1
22,Less than 25,African-American,Male,1,0,0,1,F,1
29,25 - 45,African-American,Male,4,0,0,0,F,1
27,25 - 45,African-American,Male,6,0,1,0,F,1
56,Greater than 45,African-American,Female,0,0,0,0,M,0
39,25 - 45,African-American,Male,1,0,0,0,M,0
29,25 - 45,African-American,Male,5,0,0,0,F,1
27,25 - 45,Caucasian,Male,1,0,0,1,F,1
40,25 - 45,African-American,Male,2,0,0,0,F,0
22,Less than 25,African-American,Male,1,0,0,0,M,1
